Review,giai_tri,luu_tru,nha_hang,an_uong,van_chuyen,mua_sam
"Giao xe nhanh mình gọi chỉ 10p là có Xe đời mới nhất, rất sạch sẽ Nhân viên giao xe rất lịch sự Thuê 3 ngày có giảm giá Đặc biệt, mũ bảo hiểm rất mới và sạch rất hài lòng khi thuê xe máy ở đây khi đến quy nhơn du lịch",0,0,0,0,5,0
"Điều này là lạ nếu taxi là loại mét. Trong màn hình có đề cập rằng chi phí khoảng 63, 000 Mb. 
Nhưng anh ấy yêu cầu chúng tôi trả 190, 000 KL. Làm thế nào để taxi tính phí chúng tôi như vậy? Nó rất đáng sợ.",0,0,0,0,1,0
"Ngày thường hơi ít khách. Nhưng dịch vụ rất tốt. Có thẻ thành viên được nhiều ưu đãi khi xem phim.
",5,0,0,0,0,0
"Công viên thoáng mát dọc theo bờ biển, thích hợp cho du khách đi dạo và đưa trẻ đến vào những buổi chiều. Vì ngoài không gian đẹp và thơ mộng còn có các trò vui chơi giải trí cho các bé
",5,0,0,0,0,0
"Top thương hiệu chả ram tôm đất được ưa chuông nhất Việt nam
",0,0,0,4,0,0
Đến đây thử mấy lần rồi nhưng nói thật đĩa mình thích không còn ngon như trước nữa (món canh chua nấu tôm và tép xào dừa ...) đông khách quá nên phục vụ làm mình thất vọng. Tôi sẽ không trở lại nữa,0,0,0,2,0,0
Nhân viên nói chuyện với khách kiểu côn đồ. Lễ tân làm 1 giá lên nhân viên ép giá lên x4 minh k đồng ý thì làm khùng làm đien lên. Tiền mất tật mang,0,0,0,0,0,1
"Vừa rẻ vùa ngon. Hải sản tươi sống, cực chất lượng.",0,0,0,5,0,0
"Nhân viên cực nhiệt tình thân thiện... điểm cộng lớn nhất của mình là không gian của TRÒN ❤️ Không gian thư giãn với sắc gỗ pha lẫn ánh đèn vàng ấm áp cảm giác cao cấp, sang trọng nhưng gần gũi, nhẹ nhàng. Đúng với tinh thần giải tỏa căng thẳng cho cả cơ thể và tâm hồn   Trước khi tìm đến TRÒN mình rất hay gặp tình trạng đau mỏi vai gáy, ngồi lâu ở phòng làm việc thật sự stress và cần một nơi thư giãn như TRÒN... đúng là lúc đi hết mình lúc về hết mỏi như lời đồn đó mn    TRÒN quả nhiên là nơi đáng để trải nghiệm đó:))) tin mình đi 😽",5,0,0,0,0,0
"Khu vui chơi dành cho mọi người có nhiều dụng cụ tập thể dục, cây hoa được chăm sóc tốt
",5,0,0,0,0,0
Nếu có 10*+ thì mình cũng rate luôn á và giá phòng ở đây khá rẻ các b đi theo nhóm hay gia đình cũng đều được vì có nhiều phòng rộng nữa. Nếu b nào đi honey moon thì khách sạn cũng decor phòng honey moon nữa nè.,0,5,0,0,0,0
"Đẹp và lớn. Giống như một khu chợ bình thường, và bạn có thể tìm thấy hầu hết mọi thứ với giá rẻ (không phải giá khách du lịch). Nhiều cửa hàng khác nhau bên trong. 3 tầng.",0,0,0,0,0,4
"Điểm trung chuyển khách bằng xe buýt từ TP Quy Nhơn đến sân bay Phù Cát, giá vé từ 50-100k/người.
",0,0,0,0,3,0
"2 vk ck lơ vơ tìm quán ăn vặt đêm, phi vô, quán ngồi thoáng, chủ quán trẻ trung dễ mến, đồ uống, sinh tố rẻ toàn dưới 20k, gọi 2 cốc kem bơ 18k/cốc ngon như ăn ở Đà Lạt 😁😁",0,0,0,5,0,0
"Tôi thích view phòng ra biển, sự sạch sẽ, sự chu đáo nhiệt tình của nhân viên lễ tân, chú bảo vệ. Có dịp chắc chắn trở lại",2,0,0,0,0,0
Cả 5 món ăn đều khiến tôi thất vọng-không vui vì đây là nhà hàng cuối cùng của chúng tôi ở Việt Nam - và thời gian trong bếp kém quá,0,0,0,1,0,0
"Thức ăn sáng không phong phú, hơi ít món...",0,0,0,2,0,0
"Tài xế có tâm :)) khách nhịn tè từ trên đèo nhịn xuống đã đành, đằng này tới nơi có hộ dân sinh sống vẫn đi tu tu chả thèm dừng dù khách la réo xin đi vsinh. Mồm mình thay cho quả thận phát tín hiệu được hơn tiếng đồng hồ rồi vẫn chưa được giải cứu. Rip my bladder
",0,0,0,0,2,0
Không gian lớn sạch sẽ nhiều mặt hàng phong phú và đa dạng phong cách đẹp sang trọng phì hợp với khách hàng,0,0,0,0,0,4
"Tôi và Bạn gái đã có một bữa sáng kinh khủng tại đây , một không khi nóng bức và chật trội , chúng tôi đã phải đợi 10' để có dc một chỗ ngồi . Và 15' nữa để có một tô phở + quẩy . Điều đáng phàn nàn là thái độ nhân viên hời hợt , không để ý đến khách hàng , tôi không nhớ là đã phải gọi ""Em ơi"" bao nhiêu lần để được phục vụ .",1,0,1,0,0,0
"Đã thuê một chiếc xe máy trong 1 ngày. Họ cung cấp mũ bảo hiểm cho tôi, vợ tôi và con trai 3 tuổi. Moped ở trong tình trạng tốt, nhân viên siêu nhạy và có thể nói tiếng Anh khá tốt. Điều này cực kỳ quan trọng nếu bạn đang cố gắng giải quyết một số vấn đề.  Năm sao cho thue xe may quy nhon hoai bao",0,0,0,0,5,0
"Tôi rất ko hài lòng về thái độ phục vụ của nhân viên tính tiền. Thái độ của nhân viên cứ ""hầm hầm"" vậy, nói thì cứ như quát vào mặt ng ta. Ng ta mua đến quầy tính tiền rồi còn hỏi có tiền trả ko vậy là thái độ ""khinh thường"" à. Nên tôi đề nghị ban quản lí coi, điều chỉnh lại thái độ của nhân viên.",0,0,1,0,0,0
"Shop có món cá ngừ đại dương phi lê ngon tuyệt. Lại rất rẻ so với thị trường. Chả ram tôm đất cũng ngon và rẻ. Phục vụ thân thiện, nhiệt tình.
",0,0,0,5,0,0
"Thị trường Mẹ và Bé Quy Nhơn về mặt chung shop này bán giá cả rẻ hơn các shop khác, tư vấn tận tâm, duyệt.
",0,0,0,0,0,4
"Nhà xe không tăng giá sau dịch, hỗ trợ bà con khó khăn từ TP.HCM về, giá vé chỉ 260k trong khi các nhà xe khác tăng giá toàn 1tr trở lên. Cảm ơn nhà xe",0,0,0,0,5,0
"Khách sạn Apus đáng giá từng đồng tôi bỏ ra. Cơ sở vật chất tiện nghi, hiện đại, lại còn có cả bể bơi trên tầng thượng. Wifi trong phòng rất tốt. Vị trí thì quá tuyệt vời: đi bộ 5 phút ra biển.",0,5,0,0,0,0
"Khu du lịch nằm bên kia cầu Nhơn Hội nếu đi từ Tp. Qui Nhơn. Một trong những khu du lịch mới và đẹp nằm ở Qui Nhơn. Ở đây chúng ta có thể tham quan nhiều phong cảnh và chơi những trò chơi thú vị. Hứa hẹn sẽ đến đây dài dài.
",5,0,0,0,0,0
"Khách sạn nằm trong khu vực rất là yên tĩnh, phòng đẹp và khuôn viên có thể tận dụng để uống cà phê buổi tối. Tuyệt vời",0,5,0,0,0,0
"Bữa ăn 5 người có khách ta, khách tây. Gọi đồ ăn lâu, Nhân viên phục vụ chậm và không tư vấn được cho khách",1,0,0,0,0,0
Người lái xe đã ở đó đợi tôi khi tôi đến và nhanh chóng đưa tôi về khách sạn.,5,0,0,0,5,0
"3 chị em mình ghé Chạm Spa vào buổi sáng, bị ấn tượng bởi không gian thiết kế rất hài hòa và ấm cúng, mùi hương chanh sả nhẹ làm mình thấy thư giãn. Đi bộ nhiều nên 2 chân mỏi rã rời, mình chọn dịch vụ massage chân tinh dầu kèm thêm đá nóng 60p, giá 220k . Tay nghề các bạn KTV ở đây khá tốt , làm bài bản chứ ko hời hợt như một số nơi khác, nhiệt tình và rất lễ phép.  Mức giá 220k tại trung tâm thành phố du lịch cũng như không gian và thái độ phục vụ tốt như vậy mình thấy hợp lý . Bạn nào đi chơi nhiều giống mình thì mình khuyến khích nên thử dịch vụ bên này nhé . Rất hài lòng!",5,0,0,0,0,0
"Sân bay cách trung tâm TP Quy Nhơn khoảng 30km. Hơi bất tiện trong việc đi lại. Tuy nhiên sân bay rộng, đẹp. Phòng chờ Vip rông rãi.
",0,0,0,3,0,0
Nhà hàng có view nhìn ra cau Thu Thiêm và công viên Bach Dang rất đẹp vào buổi tối,0,0,4,0,0,0
Quầy bar k mở và thiết kế bồn tắm hơi bí bách,0,3,0,0,0,0
"Xe chất thêm quá nhiều người, sai quy định, 14h là h xuất phát nhưng 15h chưa đi, xe tệ nhất đó h mình từng đi, mọi người đừng nên sử dụng dịch vụ này
",0,0,0,0,2,0
"Nhóm mình đi Quy Nhơn chơi. Được mấy anh chị đi trước hướng dẫn đến tiệm này để thuê xe. Công nhận đúng ý thật. Xe mới, chủ quán nhiệt tình thêm cái giá cả quá hợp lý. Quy Nhơn đẹp, tiệm này cũng quá dễ thương. Luôn ủng hộ dịch vụ cho thuê xe máy Quy Nhơn mỗi lần ghé nơi đây
",0,0,0,0,5,0
"Quán thoáng mát, giá cả phải chăng, hải sản tươi + nấu ngon",0,0,0,5,0,0
"Quán này hình như mở cũng lâu rồi, đi ngang thấy nhiều lần mà tối hôm qua mới ghé, thấy ở ngoài cổ cổ hay hay, kiểu như thân thiện lắm làm nhớ lại hồi xưa, mình thì ngồi bên ngoài, bên trong buổi tối hát acoustic nên không vào, bên trong thì mình chưa nhìn kỹ, ngồi ngoài cho dễ nói chuyện, Menu món thì giá không cao, order cafe sữa đá, cacao nóng, cafe sữa tươi, cũng được thôi chứ không có đặc sắc gì,",0,0,0,4,0,0
"Có khá nhiều xe và loại xe. Ông bà chủ thấy cũng vui tính, dễ gần. Giá cả hợp lý, phù hợp cho từng loại xe. Đặc biệt xe luôn trong tình trạng tốt nhất vì ông chủ kiêm luôn sửa chữa xe.hjh",0,0,0,0,4,0
"Từ gia lai xuống quy nhơn chơi mấy ngày. Đọc một đống review cuối cùng quyết định chọn quán này. Nước chấm gồm ba loại, hai loại muối ớt chanh (một loại chua, một loại ngọt) với nước nắm gừng. Ốc thì dĩa nhỏ 15k, dĩa lớn 20k. Mình ăn 2 dĩa hàu nướng, 1 ốc hương, 1 ốc gai, 1 xìa, 1 dĩa ốc gì đó ko biết tên, 1 ốc len mà tổng hết có 125k. Ban đầu mình còn tưởng tính tiền nhầm nữa chứ. Hôm sau quyết định đi ăn tiếp, quay lại thì thấy quán đóng cửa. Sực nhớ hôm ni là rằm tháng 7 nên chắc nghỉ bán. Qua quán khác ăn mà cảm thấy không ngon bằng quán ốc Bông. Đắng lòng ~.~. Sau này mà còn quay lại quy nhơn chắc chắn sẽ dẫn bạn bè tới quán này.",0,0,0,5,0,0
"Và thức ăn tuyệt vời, nhưng tia sét giết chết sự rung cảm của ""quán rượu"". Nó trông giống như một nhà hàng và điều đó hơi buồn bởi vì nó có thể là một quán bar / quán rượu to lớn!",0,0,0,5,0,0
"Anh xã đi công tác tại Quy Nhơn, 2 vợ chồng di chuyển bằng taxi tốn nhiều chi phí quá nên mình mới tìm chổ thuê xe máy đi cho tiện lại tiết kiệm. May mắn tìm được chổ này 27a hoàng hoa thám quy nhơn, mình gọi điện mang xe đến tận nơi, thủ tục đơn giản không rườm rà như mấy chổ khác, bạn chủ nhiệt tình vui vẻ chỉ cho 2 vợ chông mình mấy quán hải sản ngon với chổ bán đặc sản giá sỉ mua về làm quà",0,0,0,0,4,0
"Bánh rất nhiều tôm to, tôm giòn nằm chễm chệ trên vỏ bánh mềm thơm ngon. Món ăn thuộc loại rolling in the deep, nghĩa là cuốn với rau, dưa chuột, giá, vỏ bánh mềm. Ngoài ra, đặc biệt không thể thiếu của món ăn là nước chấm chua cay rất Bình Định, vừa miệng đến khó tả. Đặc biệt, quán có sữa ngô tuyệt đỉnh, kết hợp Combo với bánh xèo cuốn này tạo thành một cặp trời sinh. Ai không thích tôm nhảy, có thể đổi sang bò hoặc mực cũng ngon không kém.",0,0,0,5,0,0
"Có một điều mình nhận ra là ở quy nhơn quán nào đẹp là đồ uống dở . Lúc vô quán này mình cũng không hy vọng mấy về chất lượng đồ uống . Oder 1 ly bạc xĩu kem và trà đào , 2 món này là an toàn nhất , lỡ như có dở thì cũng ráng uống được :)) . Nhưng may sao trà đào khá ngon , được 3-4 miếng đào , nước đậm vị đào . Bạc xĩu kem cũng ok , kem thơm và ngon , mình ước gì cho nhiều kem hơn xíu . Giá 2 ly này là 53k , cũng hợp lí so với không gian của quán . Sẽ quay lại đây .",0,0,0,4,0,0
"Nhân viên rất nhiệt tình, là khách hàng khi thấy nhân viên như vậy quả thật cảm thấy rất được tôn trọng. Cảm ơn đội ngũ nhân viên rất nhiều.
",5,5,5,0,0,0
" - Các hệ thống giải trí tại chỗ hoàn toàn không hoạt động (trên cả hai xe buýt), vì vậy don không mong đợi giải trí theo phong cách hàng không",0,0,0,0,2,0
"Tôi đã đi taxi Vinasun vào ngày 1 Thứ Sáu tuần trước 14 tháng 6 từ Trung tâm Vincom đến đường Bùi Viện. 
Khi tôi đến đích, tài xế nói 30, 000 đồng, tôi nói không phải là 60 K đồng được hiển thị trong Đồng hồ. Anh nói 30 k. Tôi chuyển cho anh 500 K đồng để đổi, anh chuyển cho tôi hình như đổi 50 K đồng. Tôi cảm thấy trong lòng rõ ràng là thay đổi sai. Anh ấy nên trả lại cho tôi 470 k dong hoặc 440 K dong. Tôi cũng có lỗi vì đã vội vàng gặp bạn tôi ở đường Bùi Viện. Bạn bè của tôi đã khuyên tôi sau sự cố này là hãy lấy Grab Cab từ bây giờ và cũng đảm bảo rằng bạn có một thay đổi nhỏ với bạn, trong trường hợp các tài xế không có thay đổi cho bạn. Tôi đã rất tin tưởng vào Vinasun Tai, chuyến đi còn lại của tôi, tất cả những gì tôi đã lấy Grab Cars, và sau đó trên hành trình của tôi ở Hồ Chi được an toàn.",1,0,0,0,1,0
Bể bơi hơi bé so với mình hy vọng ,2,0,0,0,0,0
"Lối đi hẹp, hành lang chưa thoáng, hơi tối, không có lỗi đi lên kéo vali hành lý phải xách tay lên cầu thang",0,2,0,0,0,0
"Tôi đến khách sạn tôi đã ở cách đây khoảng 15 phút và đang đợi, và hành lý của tôi như va li đã được chất lên một cách tử tế và suôn sẻ. 
Chiếc xe là một chiếc xe 10 chỗ ngồi và rất thoải mái để thuê. Tôi đến sân bay Đà Nẵng trong khoảng 30 đến 40 phút, lấy hành lý và lái xe thoải mái.",0,0,0,0,5,0
"Giá vé xem phim khá rẻ, phòng chiếu rộng rãi, hiện đại, trải nghiệm xem phim không có gì phải chê",5,0,0,0,0,0
Hải sản chủ yếu buổi chiều giá cao hơn chợ đầm,0,0,0,0,0,4
"Phòng sạch sẽ, đầy đủ tiện nghi nè, view núi rất đẹp, phòng mình ở tầng trệt có lối đi riêng khá là ổn áp ☺️. Bạn lễ tân thì rất ư là dể thương.",0,4,0,0,0,0
"ừ Sài Gòn bay về Quy Nhơn chơi, được bạn bè dẫn đi quán này, view khá ổn, đồ ăn nhiều nhưng giá cực phải chăng ( so với sài gòn ) khoảng 1/2 thôi, đồ ăn bưng lên cũng nhanh, chất lượng khỏi phải bàn có điều nhân viên hơi lớ ngớ khoảng phục vụ nước, mình phải gọi 3 lần",0,0,0,4,0,0
"JW Marriott đa phần có dịch vụ tốt. Không phải tất cả mọi nhân viên đều ok, nhưng phần lớn những người mình gặp đều rất nhiệt tình và chân thành.
",0,5,0,0,0,0
"Đi vòng vòng khu này tìm được massage bình định uy tín, nhiều dịch vụ bạn cũng nên trải nghiệm rồi cho nhận xét nha, mình thì 5 sao",5,0,0,0,0,0
Lúc nhận trả phòng phải chờ thang máy lâu vì khách đông,0,3,0,0,0,0
"Mình mới mua 10 cây tré tổng cộng 280k, 2 đòn nem mỗi đòn nữa kg 75k, 2 đòn là 150k. Tổng số tiền mình thanh toán là 430k
Mình đưa 500k, nhân viên thối lại cho mình 70k, mình nói thôi lấy thêm nữa kg nem nữa đc ko để khỏi cần thối, vậy mà cô nhân viên ko chịu bắt mình phải trả thêm 5k nữa ko thì lấy tiền lại.
Thật ra 5k đối với mình ko là gì cả nhưng cái cách bán hàng của nv rất khó chịu,mong chủ cơ sở chấn chỉnh lại cách làm việc tốt hơn",0,0,0,3,0,0
"Sân mới sửa lại. Thay toàn bộ mặt cỏ mới ,mặt cỏ đẹp, ngang tầm mặt cỏ quốc tế .ghế ngồi đẹp, rộng rãi, thoáng mát...",5,0,0,0,0,0
"Ở đây bán rất nhiều hàng hóa, thức ăn truyền thống-quà tặng với giá tốt, nên tôi thích Big C hơn nếu bạn muốn mua gì đó ở thành phố Quy Nhơn. ",0,0,0,0,0,4
"Nói chung năm nào cũng đi coi vải ở đây. Vải mới có nhiều, cập nhật xu hướng nhanh. Có điều giá hơi cao nếu người mới đi mua, chưa biết cách nhắm tầm giá sản phẩm. Vải cao cấp có nhiều",0,0,0,0,0,2
Giá rẻ và chất lượng hơn hẳn một số khách sạn khác. Vị trí nằm gần biển! Highly recommend,0,5,0,0,0,0
"Quán này đông khách lắm vì đồ ăn nấu ngon, hải sản tươi cực kỳ, giá cũng không quá cao. Đặc biệt mấy dân tổ chức tour hay lui tới, nhiều khách dùng ai cũng khen cả.",0,0,0,5,0,0
"Quán này mở cũng khá là lâu rồi, cũng đi nhiều lần rồi, quán khá là ngon nên dễ làm cho khách lưu luyến đến những lần tiếp theo. Quán có tới 3 chổ nhưng nằm gần nhau cách nhau mấy mét thôi kiểu mở rộng ra theo thời gian ý. Mình thấy thức ăn của quán khá ngon, nhất là món nướng ngói mình bị nghiền món đó dã man luôn. Thức ăn ở đây mình thấy cũng bình dân chứ ko quá đắt đỏ gì, đặc biệt nay quán mở rộng ra nên có thể tổ chức sinh nhật ở đây là quá tuyệt vời nè. Đi đúng ngày là gặp toàn tiếp thị chân dài ko đấy nhé :))))",0,0,0,5,0,0
"Phá lấu ở đây siêu ngon luôn nhưng qua mình ăn thì phần ruột có hơi tanh chút (ít lắm nên cũng không ảnh hưởnh gì nhiều đâu). Lagu cũng ngon lắm luôn, đem ra thơm phức, thịt mềm siêu thích luôn. Nhất định ghé thử nha, ngon sạch và giá cũng ok.",0,0,0,5,0,0
"Hải sản tươi ngon, chờ hơi lâu vì bắt hải sản làm khi có khách gọi nên có thể thông cảm. Giá cả phải chăng. Chỉ với 100k đã có 1 tô cháo hải sản siêu to khổng lồ phần cho 4 người ăn.",0,0,0,4,0,0
"Quán bán đặc sản bình định ngon ít chỗ bán, hải sản chuyên mực câu chất lượng, ngon, rẻ. Đáng tiền, uy tín.",0,0,0,0,0,5
"Saigon Transfers thật xuất sắc. Thông tin liên lạc của họ luôn nhanh chóng và đầy đủ thông tin. Họ là một công ty rất đáng tin cậy. 
Chiếc xe đã được cực kỳ sạch sẽ và thoải mái. Tôi chắc chắn sẽ đặt chúng một lần nữa. Rất khuyến khích.",0,0,0,0,5,0
"Do đường chính đông đúc nên nếu đi xe cá nhân phải đỗ xe ở bãi riêng, phí 80k/ ngày đêm.",0,0,0,0,4,0
Chợ nhỏ nhưng đầy đủ đặc sản Quy Nhơn. Không sạch lắm như bao chợ ở Việt Nam.,0,0,0,0,0,3
"Hướng dẫn đến kịp thời. Anh ấy nói tiếng Anh tốt. Ông ấy rất sẵn lòng đáp ứng nguyện vọng của chúng tôi để thêm vào sự bố thí của nhà sư. 
Ông đã giải thích rất nhiều về lịch sử của Lào tại bảo tàng và các ngôi chùa. Rất khuyến khích!",5,0,0,0,0,0
"Không có bữa sáng như thông tin phòng. Mình đặt phòng 3 người (1 giường đôi và 1 giường đơn) để ở 2 người và 1 em bé, yêu cầu ghép giường sát nhau. Nhưng bên khách sạn lại tự ý lấy phòng 2 giường đơn để ghép lại với lý do giường đơn và đôi ko ghép lại được và vẫn lấy giá phòng như cũ, trong khi phòng mình đang ở chỉ dành cho 2 người. Vì có em bé nên mình không muốn đôi co nên đành nhận phòng để nghỉ ngơi.",0,2,0,1,0,0
"Nhà hàng hải sản Dương Râu là một trong những nhà hàng được khách du lịch đặc biệt yêu thích khi  đến thành phố biển Quy Nhơn. Menu của quán vô cùng đa dạng với rất nhiều những món hải sản tươi ngon, chất lượng. Đầu bếp tài năng, giàu kinh nghiệm, mang đến cho khách hàng những món ngon tinh tế, hấp dẫn nhất.

Cua ở Dương Râu rất được yêu thích, như cua sốt trứng muối, cua rang me, miến cua, lẩu riêu cua… Các món hải sản khác thì nhiều vô kể luôn nha. Hầu hết những món phổ biến nhất đều có đầy đủ cả.

Hải sản luôn đảm bảo độ tươi ngon, hấp dẫn. Đặc biệt bạn có thể thấy chúng còn đang tung tăng bơi lội trong các bể nuôi nữa nhé. Khi đến quán bạn chỉ cần chỉ xem muốn ăn loại nào, vị gì, lúc này đầu bếp sẽ chế biến tại đó theo yêu cầu của bạn luôn nè.

Không gian quán thì siêu rộng rãi với 3 tầng khác nhau. Thích hợp để tổ chức tiệc tùng, liên hoan, hội họp. Đội ngũ nhân viên cực kỳ thân thiện, dễ gần, phục vụ chu đáo, nhiệt tình. Giá cả được niêm yết công khai, minh bạch. không chặt chém. Điểm 10 cho chất lượng, điểm 10 cho phục vụ bạn nhé.

",0,0,5,5,0,0
"Khi đặt vé xe thì bắt buộc ghi địa điểm đi/đến. Nhưng khi lên xe thì tài xế lại hỏi lại (không chuyên nghiệp). Tài xế nói chuyện lí nhí không nghe gì được, khi ghé trạm khách không biết nên ngồi ăn cơm thì gọi hối và kêu bỏ cơm ra đi ngay, mặt mũi nhăn nhó. Về đến Sài Gòn thì toàn bỏ khách ở đầu đường (hoặc cuối đường) chứ không thả xuống gần địa chỉ khách cung cấp, không cần biết xa thế nào, dịch vụ rất tệ, không bao giờ đi lại lần 2.",0,0,0,0,1,0
"Ai đến quy nhơn nên ghé quán Út Lợi này ,Quán ngon , ghẹ tươi sống ,giá rất bình dân và sạch sẽ Quán nằm trên đường nhỏ nhưng chuyên về hải sản. Đường này có rất nhiều quán hải sản ,quán này ra đới sau nhưng món chế biến rất ngon, chi bán ghẹ tươi sống,ăn đâu hấp đó, đặc biệt ốc thập cẩm , ốc trộn rất ngon nước chấm thì đậm đà.",0,0,0,5,0,0
Phòng rộng. sạch sẽ. có thể ở tới 4 người,0,5,0,0,0,0
"Quán này nhỏ nhưng mà ko bí. Có món trà sữa country gì đó uống mùi khá giống trà Phúc Long trong SG, cô chủ nhiệt tình dễ gần/ Giá cả hợp lý .",0,0,0,5,0,0
"Tư vấn nhiệt tình. Bán đủ loại đặc sản. Giá phải chăng. Có thanh toán thẻ, chuyển khoản nên tiện lợi.
Mình đã mua bánh ít lá gai, bánh hồng, mực rim,...",0,0,5,5,0,0
"Nhân viên dễ thương, nhiệt tình",0,5,5,0,0,0
